sample_id,text,word_count
wt_5010,"Describing the tone of the episode Ford describes it as "" an all out romp "" and an "" action , rollercoaster ride "" with "" a lot of comedy in it as much as thrills and nasty monsters "" . Davies stated that "" the whole point of the episode is to have a right old laugh "" . Expanding on the comedic aspects , something Ford considered whilst writing the episode was that "" the trick is to have the comedy come out of the characters "" rather than the scenario itself . It was Eve Myles ' idea to have Gwen compulsively eat gherkins after waking up pregnant ; the script had only specified the character drinking a glass of water . The episode also plays on Gwen 's conflicted feelings between Jack and Rhys . Davies felt it would be "" irresistible "" to have the wedding temporarily halted by "" the one man Rhys doesn 't want to see running down the aisle . "" Ford stated that whilst Jack is "" the series hero "" Rhys is "" the hero of this episode "" . He compares a sequence where Rhys arms himself with a chainsaw to defend Gwen to the character being in "" Evil Dead mode "" . Producer Richard Stokes commented that the episode illuminated that "" even though [ Gwen ] ' s put [ Rhys ] through some really difficult times , she really does love him and want to be with him . "" In an early draft of the script Gwen and Rhys had their memories wiped at the end of the episode in addition to the other guests and were convinced by Jack that the wedding had been problem free .",295
wt_5011,"Intractability and the combinatorial explosion . In 1972 Richard Karp ( building on Stephen Cook 's 1971 theorem ) showed there are many problems that can probably only be solved in exponential time ( in the size of the inputs ) . Finding optimal solutions to these problems requires unimaginable amounts of computer time except when the problems are trivial . This almost certainly meant that many of the "" toy "" solutions used by AI would probably never scale up into useful systems .",85
wt_5012,"Virginia Tech returned the post @-@ touchdown kickoff to its 26 @-@ yard line . The Hokie offense picked up short gains on first and second down before Tech quarterback Erik Chapman threw his second interception of the game , a pass that was tipped into the air and caught by NC State defender Derrick Taylor . The Wolfpack offense took over at the 46 @-@ yard line of Virginia Tech . On its first play after the interception , Kramer completed a 19 @-@ yard pass to Haywood Jeffires . After a short run , Kramer completed a 13 @-@ yard pass to Jeffries for another first down . Deep inside the Tech red zone , it took the Wolfpack two more plays before Kramer connected on a pass to tight end Ralph Britt for a touchdown . NC State now led 21 – 10 with just over four minutes remaining before halftime .",155
wt_5013,"There had been an overwhelming Conservative @-@ Unionist majority in the Lords since the Liberal split in 1886 . With the Liberal Party attempting to push through significant welfare reforms with considerable popular support , this seemed certain to cause problems in the relationship between the Houses . Between 1906 and 1909 , several important measures were being considerably watered down or rejected outright : for example , Birrell introduced the Education Bill 1906 , which was intended to address nonconformist grievances arising from the Education Act 1902 , but which was amended by the Lords to such an extent that it was effectively a different bill , upon which the Commons dropped the bill . This led to the 26 June 1907 resolution in the House of Commons declaring that the Lords ' power should be curtailed , put forward by Liberal Prime Minister Henry Campbell @-@ Bannerman . In 1909 , hoping to force an election , the Lords rejected the financial bill based on the government budget ( the "" People 's Budget "" ) put forward by David Lloyd George , by 350 votes to 75 . This , according to the Commons , was "" a breach of the Constitution , and a usurpation of the rights of the Commons "" . The Lords suggested that the Commons justify its position as representing the will of the people : it did this through the January 1910 general election . The Liberal government lost heavily , but remained in majority with the help of a significant number of Irish Nationalist and Labour MPs . The Irish Nationalists saw the continued power of the Lords as detrimental to securing Irish Home Rule . Following the election , the Lords relented on the budget ( since reintroduced by the government ) , it passing the Lords on 28 April , a day after the Commons .",318
wt_5014,"By the 1850s racist ideology , which was becoming prevalent in much of the U.S. , began to affect Minnesota more significantly than it had in the past . The ruling class was composed of primarily Anglo @-@ American Protestants . Settlers from the U.S. increasingly discussed "" white "" inhabitants as the key to Minnesota 's future with an eye toward marginalizing the role that other "" inferior "" races would have in the future . Author James Wesley Bond in 1853 described Minnesota before the 1850s as "" a waste of woodland and prairie , uninhabited save by the different hordes of savage tribes from time immemorial . "" Prejudices in the territory , however , were complicated . As late as 1840 mulattos in Saint Paul were commonly treated as equals to others in the community with children of all races attending the same schools . By the late 1840s , however , all blacks had been completely disenfranchised . In addition they were prevented from running for office and their children were segregated in schools . By contrast Irish Catholics and Native Americans who adopted European lifestyles were allowed to vote and their children were not segregated in the classrooms . Paradoxically whereas Anglo @-@ Americans generally accepted business development by African Americans , they largely opposed business development by Irish immigrants .",227
wt_5015,"Since the Reformation the 13th @-@ century Hanging Chapel in Langport has been a town hall , courthouse , grammar school , museum , and armoury before becoming a masonic hall in 1891 . The house known as The Abbey in Charlton Mackrell takes its name from the site on which it was built , the Chantry Chapel of the Holy Spirit , founded in 1237 . Naish Priory , built around 1400 in East Coker , was never a priory , and similarly the Abbey Farm House and Abbey Barn in Yeovil which date from around 1420 , have always been in lay @-@ ownership ; "" abbey "" was added to their names in the 19th century . The 140 @-@ foot ( 43 m ) Burton Pynsent Monument was designed in 1757 , by Capability Brown for William Pitt , as a monument to Sir William Pynsent . King Alfred 's Tower , a 161 feet ( 49 m ) high , triangular edifice , stands near Egbert 's stone , where it is believed that Alfred the Great , King of Wessex , rallied the Saxons in May 878 before the Battle of Ethandun . The towers funder , Henry Hoare , planned for it to commemorate the end of the Seven Years ' War against France and the accession of King George III . The other Grade I listed buildings in South Somerset are manor houses , built over long periods by local Lords of the Manor . The Tudor Barrington Court was the first country house acquired by the National Trust , in 1907 , on the recommendation of the antiquarian Canon Hardwicke Rawnsley . Newton Surmaville was built between 1608 and 1612 for Robert Harbin , a Yeovil merchant , on the site of an earlier building , but was extensively altered and enhanced in the 1870s . Lytes Cary and its associated chapel and gardens have parts dating to as early as the 14th century . The architectural historian Nikolaus Pevsner praised it , saying "" Yet all parts blend to perfection with one another and with the gentle sunny landscape that surrounds them . "" The 17th @-@ century house at Tintinhull is surrounded by a small 20th @-@ century Arts and Crafts garden . Ven House , which stands on an artificially raised terrace , has a rectangular plan of seven bays by five bays , and is built of red brick in Flemish bond , with local Hamstone dressings ; its north and south fronts are divided by two giant Corinthian pilasters . The small William and Mary style house was completed sometime between 1698 and 1700 . It was enlarged between 1725 and 1730 by Decimus Burton , who provided a new drawing @-@ room for Sir W. Medleycott and also an orangery attached to the house . Brympton d 'Evercy , built in stages between about 1220 and the 18th century , has been described , by Auberon Waugh , as "" the most beautiful house in England "" .",513
wt_5016,"Gray wolves are top predators that were reintroduced amidst controversy to central Idaho in the mid @-@ 1990s to restore ecosystem stability . The wolves have since expanded their range and established packs in most of Boise National Forest . Wolves and mountain lions are the forest 's top large mammal predators and have no predators of their own except humans . Most of the forest 's native mammal species are present in the forest , with the exception of grizzly bears , which have become locally extinct , and plans for their reintroduction to central Idaho have been proposed since the 1990s but have not progressed .",108
wt_5017,"Europium was first found in 1890 by Paul Émile Lecoq de Boisbaudran , who obtained basic fractions from samarium @-@ gadolinium concentrates which had spectral lines not accounted for by samarium or gadolinium . However , the discovery of europium is generally credited to French chemist Eugène @-@ Anatole Demarçay , who suspected samples of the recently discovered element samarium were contaminated with an unknown element in 1896 and who was able to isolate it in 1901 ; he then named it europium .",84
wt_5018,"Mosley was elected to his second term as president of the FIA in October 1997 . Later that year , the EU Commission Directorate @-@ General for Competition made a preliminary decision against Ecclestone and the FIA . The resulting warning letters from van Miert to the FIA and Ecclestone were leaked and ended the attempt to float F1 ; the FIA won a case against the Commission for the leakage in 1998 .",74
wt_5019,"Where youth grows pale , and spectre @-@ thin , and dies ;",13
wt_5020,"Raffles does on occasion disparage his game , commenting to Manders in "" Gentlemen and Players "" , "" where 's the satisfaction of taking a man 's wicket when you want his spoons ? "" Valentine also considers the point , and sees Raffles 's cricket as a front for his criminal activities , citing Raffles 's praise for cricket for "" the glorious protection it affords a person of my proclivities "" .",75
wt_5021,"After the completion of the film 's 175 day run , novelist S. P. Chary accused the film of being based on a novel that he had written and published as a serial under the title Chanderi in a monthly magazine in 1998 . He demanded that filmmakers compensate him for using his idea without consent , and threatened to take legal action if the producers did not heed his demands , or remade the film in another language . He added that he deserved to be credited for the story and alleged that Allu Arjun and Allu Sirish were trying to postpone his acknowledgment by discussing the issue with him .",112
wt_5022,"Writing : Beyoncé Knowles , Rich Harrison , Makeba , Angela Beyincé",12
wt_5023,"The Canning Dam and reservoir provide a major fresh water resource for the city of Perth , Western Australia . The dam is situated on the Darling Scarp and is an impoundment of the Canning River . It is noted for its innovative structural and hydraulic design that was considered to be at the forefront of concrete gravity dam design at the time of construction . The Canning Dam was Perth 's primary water supply up until the 1960s when other sources of fresh water were tapped . Currently the dam supplies approximately 20 percent of Perth 's fresh water . Inflow into the Canning Reservoir is estimated to be 22 gigalitres ( 780 @,@ 000 @,@ 000 cu ft ) and has a storage capacity of 90 @,@ 352 megalitres ( 3 @,@ 190 @.@ 8 × 10 ^ 6 cu ft ) .",145
wt_5024,"Waterfall Gully is connected to the major Adelaide thoroughfare Greenhill Road by Waterfall Terrace and Glynburn Road , and cars are the preferred mode of transport in the suburb . According to the Australian Bureau of Statistics 71 @.@ 9 % of residents in the census area employed private vehicles for their commute to work . Only a small proportion ( 1 @.@ 3 % ) walked to work and but 1 @.@ 2 % cycled , while only 3 @.@ 6 % of Waterfall Gully residents travel to work by bus . The closest bus route for Waterfall Gully is the 142 bus , provided by the multi @-@ service Adelaide Metro .",114
wt_5025,"The explosion put the dry dock out of commission for the remainder of the war . The St Nazaire raid had been a success , but at a cost . Of the 622 men of the Royal Navy and Commandos who took part in the raid , only 228 men returned to England . Five commandos escaped via neutral Spain and Gibraltar with the help of French citizens , and took a ship to England from Gibraltar . 169 men were killed ( 105 RN and 64 Commandos ) and another 215 became prisoners of war ( 106 RN and 109 Commandos ) . They were first taken to La Baule and then sent to Stalag 133 at Rennes . The fallen British raiders were buried at the La Baule @-@ Escoublac cemetery with military honours . The cemetery is located 13 kilometres west of St Nazaire .",148
wt_5026,""" Sweet Love "" is a song by American recording artist Chris Brown , taken from his fifth studio album , Fortune ( 2012 ) . It was written by Brown , Cory Marks , Greg Curtis , Jamal "" Polow da Don "" Jones , Jason "" JP "" Perry and Tommy Doyle Jr . , while the production was handled by Polow da Don and Perry . The song was sent to urban contemporary radio in the United States on April 10 , 2012 , as the second single from the album . "" Sweet Love "" is a slow jam R & B ballad which incorporates elements of electronic music . The lyrics of the song revolve around Brown asking his lover to take off her clothes so that they can have sex .",137
wt_5027,"The relative chronological position of Djedkare Isesi as the eighth and penultimate ruler of the Fifth Dynasty , succeeding Menkauhor Kaiu and preceding Unas on the throne , is well established by historical sources and confirmed by archaeological evidence .",40
wt_5028,"Life expectancy in the wild is reported at eight to 13 years , and probably averages eight to 10 ; a female of at least 18 years was reported killed by hunters on Vancouver Island . Cougars may live as long as 20 years in captivity . One male North American cougar ( P. c. couguar ) , named Scratch , was two months short of his 30th birthday when he died in 2007 . Causes of death in the wild include disability and disease , competition with other cougars , starvation , accidents , and , where allowed , human hunting . Feline immunodeficiency virus , an endemic HIV @-@ like virus in cats , is well @-@ adapted to the cougar .",124
wt_5029,"On April 12 , 2011 , Legacy Recordings released Bob Dylan in Concert – Brandeis University 1963 , taped at Brandeis University on May 10 , 1963 , two weeks prior to the release of The Freewheelin ' Bob Dylan . The tape was discovered in the archive of music writer Ralph J. Gleason , and the recording carries liner notes by Michael Gray , who writes the recording captures Dylan "" from way back when Kennedy was President and the Beatles hadn 't yet reached America . It reveals him not at any Big Moment but giving a performance like his folk club sets of the period ... This is the last live performance we have of Bob Dylan before he becomes a star . """,127
wt_5030,"In the flank barbettes are mounted two mark III RML 64 pounder 64 cwt guns , numbers 462 and 463 . They are rifled muzzle @-@ loading heavy guns weighing 64 long hundredweight ( 3 @,@ 300 kg ) with a 6 @.@ 3 @-@ inch ( 160 mm ) calibre steel barrel . They were made to the model 's 1867 pattern by the Royal Arsenal , Woolwich , England in 1872 . Their intended use was to protect the flanks and approaches to the fort . These smaller guns use an 8 lb ( 4 kg ) charge of gunpowder to send a 64 lb ( 29 kg ) projectile up to 5 @,@ 000 yards ( 4 @,@ 600 m ) . There are iron rings fixed in the rampart wall that indicate traversing gun carriages were intended to be mounted , though this never eventuated . The guns were supplied with siege over @-@ bank carriages . The lower carriage sections are the type made for the guns when used as field pieces and the upper sections are brackets that raise the guns to the over @-@ bank firing position . In this particular configuration the two guns are thought to be the last in the world .",212
wt_5031,"Wigner led the Theoretical Group that included Creutz , Leo Ohlinger , Alvin M. Weinberg , Katharine Way and Gale Young . The group 's task was to design the reactors that would convert uranium into plutonium . At the time , reactors existed only on paper , and no reactor had yet gone critical . In July 1942 , Wigner chose a conservative 100 MW design , with a graphite neutron moderator and water cooling . The choice of water as a coolant was controversial at the time because water was known to absorb neutrons , thereby reducing the efficiency of the reactor ; but Wigner was confident that his group 's calculations were correct and that water would work , while the technical difficulties involved in using helium or liquid metal as a coolant would delay the project . Working seven days a week , the group designed the reactors between September 1942 and January 1943 . Creutz studied the corrosion of metals in a water @-@ cooled system , and designed the cooling system . In 1959 a patent for the reactor design would be issued in the name of Creutz , Ohlinger , Weinberg , Wigner , and Young .",204
wt_5032,"All stars spend the majority of their existence as main sequence stars , fueled primarily by the nuclear fusion of hydrogen into helium within their cores . However , stars of different masses have markedly different properties at various stages of their development . The ultimate fate of more massive stars differs from that of less massive stars , as do their luminosities and the impact they have on their environment . Accordingly , astronomers often group stars by their mass :",82
wt_5033,"While the Union Pacific Missouri River Bridge was the first railroad bridge across the river , the 1 @,@ 400 @-@ foot ( 430 m ) Douglas Street Bridge opened in 1888 as the first road bridge . The East Omaha Bridge was originally opened in 1893 , and rebuilt a decade later in 1903 . The Mormon Bridge was first attempted to be built across the river in 1932 , and failed ; it was finally successfully constructed in 1952 . The South Omaha Bridge opened in 1936 . The Knights of Ak @-@ Sar @-@ Ben operated the Douglas Street Bridge as a toll bridge from 1938 to 1947 . The bridge was removed in 1968 . Traffic was carried by a new girder bridge built in 1966 for I @-@ 480 . The Saddle Creek Underpass , over which is the Dodge Street Overpass , was completed in 1934 by the Works Progress Administration . Over 1 @,@ 175 cubic yards ( 898 m3 ) of dirt were excavated to lower Saddle Creek Road sufficiently to pass under the overpass , which is still in use today . Listed on the National Register of Historic Places in 1992 , it is part of the Bridges in Nebraska Multiple Property Submission as well .",216
wt_5034,"Range : 900 mi ( 783 nmi , 1 @,@ 450 km )",13
wt_5035,"Quoting The Chicago Manual of Style , Dershowitz artfully implies that he followed the rules by citing "" the original "" as opposed to the secondary source , Peters . He misrepresents Chicago here , where "" the original "" means merely the origin of the borrowed material , which is , in this instance , Peters .",58
wt_5036,"Female noisy miners are aggressive towards each other , and one cause of a male @-@ biased sex @-@ ratio in colonies may be the females ' greater intolerance for each other , driving immatures out of the colony and preventing the immigration of new females . Aggression at the nest is common between males . Adult males begin attacking juveniles when they are around 11 weeks old , and attackers can include males that previously cared for the fledgling . Adult females are less aggressive towards young birds , although mothers do occasionally attack their own offspring , and infanticide has been recorded . There is little male to female aggression other than the ' driving flights ' that form part of the mating ritual . In direct attacks of young birds pecks are directed at the eye patch . Agonistic behaviour has been observed among nestlings , with aggression intensifying after fledging and at times resulting in the death of a sibling .",165
wt_5037,"B. sect . Banksia ( 9 series , 50 species , 9 subspecies , 3 varieties )",17
wt_5038,"It was also McCartney 's first album to be available as a digital download . Promotion for the album came in several forms , such as a worldwide listening party at over 10 @,@ 000 Starbucks stores on the day of the album 's US release , with an approximation of 6 million people hearing the album . At ten of the Starbucks stores , fans contributed in a video tribute , that aired on the internet on 18 June 2007 . Other promotions included a limited edition Paul McCartney Starbucks card , similar to what they had done for Ray Charles 's Genius Loves Company , the Starbucks @-@ owned satellite radio station XM Channel made a program about McCartney and the album , released one song prior to the album on iTunes , performed at iTunes Festival : London , and playing free shows . It was ranked at number 90 on the top @-@ 100 of the Billboard Year @-@ end chart , and number 177 on the UK year @-@ end chart . The album won awards for the Best PR Campaign award at the Music Week Awards ceremony , and the Online / Digital Campaign award by New Media Age . The album reportedly sold 105 @,@ 000 copies in his homeland until it was given away the standard version of the CD in a unique slip @-@ case as part of a promotion with British newspaper The Mail on Sunday for free , with the 18 May 2008 edition .",256
wt_5039,"In 1999 , he was invited to record a keynote address for the graduating class at The Evergreen State College . The event was protested by some . In 2000 , he recorded a commencement address for Antioch College . The now defunct New College of California School of Law presented him with an honorary degree "" for his struggle to resist the death penalty "" . On October 5 , 2014 , he gave the commencement speech at Goddard College , via playback of a recording . As before , the choice of Abu @-@ Jamal was controversial .",100
wt_5040,"Skye has a strong folk music tradition , although in recent years dance and rock music have been growing in popularity on the island . Gaelic folk rock band Runrig started in Skye and former singer Donnie Munro still works on the island . Runrig 's second single and a concert staple is entitled Skye , the lyrics being partly in English and partly in Gaelic and they have released other songs such as "" Nightfall on Marsco "" that were inspired by the island . Celtic fusion band the Peatbog Faeries are based on Skye . Jethro Tull singer Ian Anderson owned an estate at Strathaird on Skye at one time . Several Tull songs are written about Skye , including Dun Ringil , Broadford Bazaar , and Acres Wild ( which contains the lines "" Come with me to the Winged Isle , / Northern father 's western child ... "" in reference to the island itself ) . The Isle of Skye Music Festival featured sets from The Fun Lovin ' Criminals and Sparks , but collapsed in 2007 . Electronic musician Mylo was born on Skye .",191
wt_5041,"Breeding takes place during the spring and summer . Following copulation , the female lays eggs on a daily basis over a period of several days . If an egg is lost during this time , she will lay another to replace it . There are normally four or five eggs that are ovoid in shape and pale blue or occasionally white , and they commonly have a glossy appearance . The colour of the eggs seems to have evolved through the relatively good visibility of blue at low light levels . The egg size is 26 @.@ 5 – 34 @.@ 5 mm ( 1 @.@ 04 – 1 @.@ 36 in ) in length and 20 @.@ 0 – 22 @.@ 5 mm ( 0 @.@ 79 – 0 @.@ 89 in ) in maximum diameter .",139
wt_5042,"L. indigo is a mycorrhizal fungus , and as such , establishes a mutualistic relationship with the roots of certain trees ( "" hosts "" ) , in which the fungi exchange minerals and amino acids extracted from the soil for fixed carbon from the host . The subterranean hyphae of the fungus grow a sheath of tissue around the rootlets of a broad range of tree species , forming so @-@ called ectomycorrhizae — an intimate association that is especially beneficial to the host , as the fungus produces enzymes that mineralize organic compounds and facilitate the transfer of nutrients to the tree .",105
wt_5043,"Watched by a crowd of 48 @,@ 360 , the first half was goalless . Liverpool took the lead in the second half when Alan Kennedy scored . They held this lead to win the match 1 – 0 , securing Liverpool 's third European Cup and a fifth consecutive victory by an English team . Liverpool manager Bob Paisley became the first manager to win the competition three times .",71
wt_5044,"Oscar Hornung left Eton College in 1914 , intending to enter King 's College , Cambridge later that year . When Britain entered the war against Germany , he volunteered , and was commissioned into the Essex Regiment . He was killed at the Second Battle of Ypres on 6 July 1915 , aged 20 . Although heartbroken by the loss , Hornung was adamant that some good would come of it and he edited a privately issued collection of Oscar 's letters home under the title Trusty and Well Beloved , released in 1916 . Around this time he joined an anti @-@ aircraft unit . In either 1916 or 1917 he joined the YMCA and did volunteer work in England for soldiers on leave ; in March 1917 he visited France , writing a poem about his experience afterwards — something he had been doing more frequently since Oscar 's death — and a collection of his war poetry , Ballad of Ensign Joy , was published later that year .",173
wt_5045,"Tennyson wrote Mariana in 1830 and printed it within his early collection Poems , Chiefly Lyrical . Previously , he contributed poems to the work Poems by Two Brothers ( 1827 ) , where his early poems dealing with isolation and memory can be found . The theme was continued in the later collection , with poems like Mariana , Ode to Memory , and others representing the earlier poems .",71
wt_5046,To thy high requiem become a sod . 60,9
wt_5047,"Brazilian Foreign Minister Celso Amorim and French Minister of State for Cooperation Alain Joyandet criticised the perceived preferential treatment for US aid arriving at the airport , though a spokesman for the French Ministry of Foreign Affairs said that there had been no official protest from the French government with regard to the management of the airport . US officials acknowledged that coordination of the relief effort is central to Haitian recovery , and President Préval asked for calm coordination between assisting nations without mutual accusations .",87
wt_5048,"USS Nicholson ( Destroyer No. 52 / DD @-@ 52 ) was laid down by William Cramp and Sons of Philadelphia in September 1913 and launched in August 1914 . The ship was the second U.S. Navy vessel named in honor of five members of the Nicholson family who gave distinguished service in the American Revolutionary War , the War of 1812 , and the American Civil War : brothers James , Samuel , and John Nicholson ; William Nicholson , son of John ; and James W. Nicholson , grandson of Samuel .",94
wt_5049,""" The Wave "" is a song performed by Swedish indie pop band Miike Snow . It was released as the second single from the band 's second studio album Happy to You ( 2012 ) on 14 May 2012 , through Columbia Records . The song was written and produced by the band . Musically , "" The Wave "" is an electropop song with marching band influences and autoharp , military drum and piano instrumentation . It features Swedish musician Gustav Ejstes on autoharp and the Swedish Army drum corps on military drums .",96
wt_5050,"Crown Fountain has been one of the most controversial of all the Millennium Park features . Before it was even built , some were concerned that the sculpture 's height violated the aesthetic tradition of the park . After construction , surveillance cameras were installed atop the fountain , which led to a public outcry ( and their quick removal ) .",62
wt_5051,"Prakash Raj and Ashish Vidyarthi were cast as the film 's primary antagonists . Raj played a mafia kingpin and Vidyarthi played a corrupt police officer , a villain 's role he finds more fun to play than that of a hero . Sayaji Shinde and Nassar played the two other principal characters in the film . Jyothi Rana played the role of the mafia kingpin 's moll , marking her debut in Telugu cinema . Isai and Subbaraju portrayed negative roles as well , with the former also making his debut in Telugu cinema . Ali played the role of a beggar and shared screen @-@ space with Brahmanandam and Venu Madhav . Jagannadh added this trio to the film to provide situational humour . Master Bharath played the role of D 'Cruz 's brother . Mumaith Khan performed an item number in the film .",147
wt_5052,"On a live performance at the Tokyo Dome in July 2015 commemorating the 20 @-@ year anniversary of Chrono Trigger , Mitsuda announced that the long requested Chrono series arrangement album , entitled To Far Away Times : Chrono Trigger & Chrono Cross Arrangement Album would be released . This was eventually released by Square Enix Music on October 14 , 2015 . The album was released on the Square Enix website . A number of the tracks had vocalists to go on top of the score . All tracks were composed by Yasunori Mitsuda .",96
wt_5053,"On 24 May 1941 , the Battle of the Denmark Strait was fought between the German ships Bismarck and Prinz Eugen and the British ships HMS Prince of Wales and HMS Hood . Hood was sunk and the damaged Prince of Wales was forced to retire . Bismarck , also damaged , ordered her consort to proceed independently while she headed for the French port of St Nazaire , which was the only port on the Atlantic coast with a dry dock able to accommodate a ship of her size . She was intercepted by the British and sunk en route .",102
wt_5054,"It was written in the afternoon in the intervals of some other writing . The desk was in an upstairs room , by a window looking down a wooded hill . It was written in a little notebook in which his father and mother wrote out copies of several of their poems , and , in most cases , added the date of composition . On one page the first two lines of ' Trees ' appear , with the date , February 2 , 1913 , and on another page , further on in the book , is the full text of the poem . It was dedicated to his wife 's mother , Mrs. Henry Mills Alden , who was endeared to all her family .",128
wt_5055,"I. valdensis , a renaming of Vectisaurus valdensis by Ernst van den Broeck in 1900 . Originally named Vectisaurus valdensis by Hulke in 1879 based on vertebral and pelvic remains , it was from the Barremian stage of the Isle of Wight . It was considered a juvenile specimen of Mantellisaurus atherfieldensis , or an undetermined species of Mantellisaurus , but is indeterminate beyond Iguanodontia .",66
wt_5056,"Most of the equipment , arms , and machinery at the Little Rock Arsenal was removed to east of the Mississippi River by order of Maj. Gen. Earl Van Dorn in April and May 1862 , and accountability for it is lost at that point . By all appearances , the equipment was sent down the river to Napoleon , Arkansas , and from there to Jackson Mississippi , where it was probably destroyed during the Vicksburg campaign in the early summer of 1863 .",85
wt_5057,"In a preview of the TGS demo , Ryan Geddes of IGN was left excited as to where the game would go after completing the demo , along with enjoying the improved visuals over Valkyria Chronicles II . Kotaku 's Richard Eisenbeis was highly positive about the game , citing is story as a return to form after Valkyria Chronicles II and its gameplay being the best in the series . His main criticisms were its length and gameplay repetition , along with expressing regret that it would not be localized .",92
