sample_id,text,word_count
wt_13,"Calling the seizure "" piracy "" , President Ford ordered a military response to retake the ship and its 39 @-@ man crew , mistakenly thought to be on Koh Tang Island . On May 13 , two A @-@ 7D Corsairs saw the 39 man crew board a fishing boat and saw people disembarking fishing boats at Koh Tang Island . They assumed that the Mayaguez crew was on the island . Elements of the 1st Battalion , 4th Marines , the 2nd Battalion , 4th Marines , and the 2nd Battalion , 9th Marines , were flown to an advanced staging of a joint US Task Force . On May 14 , the Marines from Company D , 1st Battalion , 4th Marines boarded the Mayaguez only to find it deserted and raised the American flag . A Thai fishing boat with a Thai crew and the 39 crew members of the SS Mayaguez which had been set free , approached the USS Wilson .",167
wt_14,"Josce 's grandson Fulk fitzWarin , who died in 1258 , is ostensibly the hero of a lost romantic poem called Fouke le Fitz Waryn . The work survives as French prose in a loose corpus of medieval literature known as the Matter of England . However , it appears to confuse events of Fulk fitzWarin 's lifetime with those of his grandfather 's . Other errors in the work include transposing some of the Welsh Marcher barons of King Henry I of England 's reign into nobles of William the Conqueror 's time , and omitting an entire generation of fitzWarins . Although scholars believe Fouke le Fitz Waryn draws on genuine tradition , the difficulty in separating the fitzWarin biographies makes it a problematic source .",128
wt_15,"Lost Horizons opens with "" Elements "" , which "" blends acoustic guitars , flugelhorns , synths , skittering breakbeat rhythms , a folksy harmonica , and ... a falsetto ' doo @-@ doo ' chorus "" . Overlaying the music is a voiceover , courtesy of English actor John Standing , that lists the basic ' elements ' that make up the world : ash , metal , water , wood , fire , and ( eventually , later in the song ) sky . The second track , "" Space Walk "" , is set to a recording of Ed White 's 1965 space walk on the Gemini 4 mission . Franglen and Deakin chose to use the sample after listening to an album called Flight to the Moon ( 1969 ) ; the two were struck by how moving and emotive many of the tracks were . Deakin later said , "" ' One small step ' leaves me cold , because it was so obviously scripted . But the spacewalk … even after hearing it so many times , it 's so vivid . """,189
wt_16,"The state of Polish primary schools was somewhat better in the General Government , though by the end of 1940 , only 30 % of prewar schools were operational , and only 28 % of prewar Polish children attended them . A German police memorandum of August 1943 described the situation as follows :",54
wt_17,"The money was proffered with few strings attached : J. C. R. Licklider , then the director of ARPA , believed that his organization should "" fund people , not projects ! "" and allowed researchers to pursue whatever directions might interest them . This created a freewheeling atmosphere at MIT that gave birth to the hacker culture , but this "" hands off "" approach would not last .",70
wt_18,"US President Barack Obama announced that former presidents Bill Clinton , who also acts as the UN special envoy to Haiti , and George W. Bush would coordinate efforts to raise funds for Haiti 's recovery . Secretary of State Hillary Clinton visited Haiti on 16 January to survey the damage and stated that US $ 48 million had been raised already in the US to help Haiti recover . Following the meeting with Secretary Clinton , President Préval stated that the highest priorities in Haiti 's recovery were establishing a working government , clearing roads , and ensuring the streets were cleared of bodies to improve sanitary conditions .",110
wt_19,"In 2010 , Monocle magazine identified Haifa as the city with the most promising business potential , with the greatest investment opportunities in the world . The magazine noted that "" a massive head @-@ to @-@ toe regeneration is starting to have an impact ; from scaffolding and cranes around town , to renovated façades and new smart places to eat "" . The Haifa municipality had spent more than $ 350 million on roads and infrastructure , and the number of building permits had risen 83 % in the previous two years .",95
wt_20,"Under the leadership of computer animator Frank Foster , 350 people worked to convert the film into the digital 3D format , for which every scene had to be individually restored , colour @-@ corrected and re @-@ composited in 3D to match the depth . New set @-@ pieces , particularly those suited to the new format were also included , such as digital logs which scatter in the direction of the camera during the first half of the film when the train collides with them , the gunshot scene which frees Jai and Veeru from their handcuffs , and panoramic views of Gabbar 's hideout in the caves .",111
wt_21,"Many reviews singled out "" Nice Weather for Ducks "" as the album 's stand @-@ out track . Mason selected the "" dreamy , acoustic guitar @-@ based "" song as one of the album 's highlights in his review . Dahlen described it as "" the most likeable "" on the album , and concluded that it is "" a happy @-@ slappy lollipop of a song that nicely sums this record up : Sunny , bright , and vaguely irritating . "" Wysel wrote , "" When the flugelhorn arrives on ' Nice Weather for Ducks ' it is impossible to believe there is any evil in the world . "" Conversely , several critics felt that "" Experiment Number Six "" did not fit with the mood of the rest of the album . Wysel called it a "" pool of darkness "" that "" comes as quite a shock . "" Dahlen felt that the song is "" is the only break in the [ album 's ] mood . "" While he enjoyed the song 's concept , calling it "" so different and sinister that it 's more intriguing than the rest of the album "" , he felt that it was "" annoyingly displaced . "" Hermann , on the other hand , called the track "" clever "" and "" spooky "" with "" music ... so well crafted that [ the concept ] works "" .",246
wt_22,"The vast majority of pupils at Carre 's continue on to the Sixth Form , and there were 240 students on roll in 2013 . Along with St George 's Academy , Carre 's is part of the Sleaford Joint Sixth Form , which was founded in 1983 and included Kesteven and Sleaford High School until it withdrew in 2010 . It provides a common timetable across both sites and allows for pupils to choose from A @-@ Level options offered at both schools . Pupils may apply to be based at either school , where their pastoral and tutorial activities take place . There are entry requirements based on GCSE attainment . Sixth Formers can be selected to be prefects , who have responsibilities around the school under the supervision of staff ; they are headed by a Head Boy and Girl . The students are required to wear business @-@ dress ; for males , this consists of a dark suit , a "" non @-@ vivid "" shirt and the school 's sixth form tie ; females must dress in "" smart business wear "" .",189
wt_23,"The first half of the 13th century has been characterized as Krak des Chevaliers ' "" golden age "" . While other Crusader strongholds came under threat , Krak des Chevaliers and its garrison of 2 @,@ 000 soldiers dominated the surrounding area . It was effectively the center of a principality which remained in Crusader hands until 1271 and was the only major inland area to remain constantly under Crusader control during this period . Crusaders who passed through the area would often stop at the castle , and probably made donations . King Andrew II of Hungary visited in 1218 and proclaimed the castle the "" key of the Christian lands "" . He was so impressed with the castle that he gave a yearly income of 60 marks to the Master and 40 to the brothers . Geoffroy de Joinville , uncle of the noted chronicler of the Crusades Jean de Joinville , died at Krak des Chevaliers in 1203 or 1204 and was buried in the castle 's chapel .",174
wt_24,"The Jingling Palace ( 景灵宫 , Jingling Gong ) , a temple to the legendary Yellow Emperor located near modern @-@ day Qufu , was built in the 11th century . It was subsequently destroyed near the end of the Yuan dynasty . However , several other structures in Shou Qiu , the complex that Jingling Palace was situated in , remain intact . Two giant tortoise @-@ borne steles flank what was the entrance to the palace . One of the two steles , the Stele of the Sorrow of 10 @,@ 000 , is at 52 meters ( 171 ft ) high , the tallest unmarked stele in the country . A large pyramid constructed of rounded stone blocks , the symbolic tomb of the Yellow Emperor 's son Shaohao , is located outside the Shou Qiu complex . Another important large tortoise @-@ borne stele of the same period has been preserved at the Dai Miao of Mount Tai .",163
wt_25,"Tiber comprises multiple Lower Tertiary petroleum reservoirs located in Keathley Canyon block 102 about 250 mi ( 400 km ) southeast of Houston and 300 mi ( 480 km ) south west of New Orleans . Tiber is only the 18th Lower Tertiary well to date , and drilling in these formations is in its infancy . The oil from Tiber is light crude , and early estimates of recoverable reserves are around 20 – 30 % recovery , suggesting figures of around 600 to 900 million barrels ( 95 × 10 ^ 6 to 143 × 10 ^ 6 m3 ) of reserves . Sources such as Bloomberg suggest caution , warning that the find is technically complex and potentially could take 5 – 6 years to produce oil or be lower yield ( 5 – 15 % ) based on "" rates talked about "" at nearby Kaskida Oil Field , BP 's previous giant find ( 2006 ) 40 mi ( 64 km ) away . The commercial prospects of the field have not yet been evaluated .",181
wt_26,"The battalion embarked for England in May 1940 as part of 5th Infantry Brigade , 2nd New Zealand Division . Arriving in June , it spent the remainder of the year on garrison duties in the south of England . In March 1941 it travelled for Egypt and then onto Greece . Andrew led the battalion through the subsequent Battle of Greece , during which it saw little action , and the Battle of Crete .",76
wt_27,"Kilmer is most remembered for "" Trees "" , which has been the subject of frequent parodies and references in popular culture . Kilmer 's work is often disparaged by critics and dismissed by scholars as being too simple and overly sentimental , and that his style was far too traditional and even archaic . Despite this , the popular appeal of "" Trees "" has contributed to its endurance . Literary critic Guy Davenport considers it "" the one poem known by practically everybody . "" "" Trees "" is frequently included in poetry anthologies and has been set to music several times — including a popular rendition by Oscar Rasbach , performed by singers Nelson Eddy , Robert Merrill , and Paul Robeson .",126
wt_28,"Lost Horizons is the second studio album from the British electronic duo Lemon Jelly , released on 7 October 2002 . Released by XL Recordings and produced by Nick Franglen , the album generated two charting singles in the UK , "" Space Walk "" and "" Nice Weather for Ducks "" ; the latter has often been called the album 's stand @-@ out track . The album , which is built around a mix of organic instrumentation and idiosyncratic samples , was met with largely positive reviews by music critics , although it was somewhat critiqued due to its near @-@ constant mellowness .",106
wt_29,"Planning by Dade County for a road named the "" Snapper Creek Expressway "" was underway as early as 1958 , with a final completion date set as late as 1975 . Funding for SR 878 's construction was made available in 1971 by the Florida Department of Transportation as part of plans to construct the Snapper Creek Expressway along with the South Dade Expressway ( now known as the Don Shula Expressway ) and the West Dade Expressway ( now known as the Homestead Extension of Florida 's Turnpike ) , with an expected completion date of early 1973 . Construction was halted in 1974 due to money issued from county bonds for expressway building running out , and the road was left partially completed ; however , $ 8 million in federal emergency funds was directed to completing the expressway in late 1977 . The Snapper Creek Expressway , designated SR 878 , finally opened in early 1980 , with the Southwest 72nd Avenue interchange opening a few weeks later .",173
wt_30,"MTV 's Josh Wigler thought the episode was "" a touching , sad tale with a healthy mix of mythological advancement , "" and couldn 't wait for more episodes about the Observers . Ramsey Isler of IGN gave the episode 7 @.@ 6 / 10 , writing that despite the hype , the episode was "" just plain average "" . He did however appreciate the new revelations about the Observers . After previewing the episode , Entertainment Weekly 's Ken Tucker graded the episode an A- , explaining Fringe had become "" one of the fastest , smartest , wittiest shows on television now "" . Andrew Hanson from the Los Angeles Times called it a "" good story peppered with a lot of great details ... ' August ' showed a greater connection to the larger Fringe universe "" . Noel Murray of The A.V. Club graded it with a B + , praising the "" wonderfully moody "" episode and how it was able to make the halting Observer dialogue work . Murray found some aspects lacking however , as he thought it was "" a very sketchy episode , plot @-@ wise and mythology @-@ wise . Not a whole lot happened "" . Website blogger io9 listed "" August "" as one of the "" crucial "" episodes new viewers must watch to get into the show .",234
wt_31,"Kidnapping , terrorism , and torture are forbidden , as well as sterilizations , amputations , mutilations that are not for therapeutic medical reasons . According to the Catechism , societies have a moral obligation to strive to provide healthy living conditions for all people .",46
wt_32,"At this point , for a period which coincided with the birth and childhood of his natural son , Élie @-@ Miriam Delaborde ( 1839 – 1913 ) , Alkan withdrew into private study and composition for six years , returning to the concert platform only in 1844 . Alkan neither asserted or denied his paternity of Delaborde , which , however , his contemporaries seemed to assume . Marmontel wrote cryptically in a biography of Delaborde that "" [ his ] birth is a page from a novel in the life of a great artist "" . Alkan gave early piano lessons to Delaborde , who was to follow his natural father as a keyboard virtuoso .",118
wt_33,"The third biggest flood , cresting at 29 @.@ 8 feet ( 9 @.@ 1 m ) in Lock Haven , occurred on June 1 , 1889 , and coincided with the Johnstown Flood . The flood demolished Lock Haven 's log boom , and millions of feet of stored timber were swept away . The flood damaged the canals , which were subsequently abandoned , and destroyed the last of the canal boats based in the city .",79
wt_34,"Yingzao Fashi included building codes and regulations , accounting information , descriptions of construction materials , and classification of crafts . In its 34 chapters , the book outlined units of measurement , and the construction of moats , fortifications , stonework , and woodwork . For the latter , it included specifications for making bracketing units with inclined arms and joints for columns and beams . It also provided specifications for wood carving , drilling , sawing , bamboo work , tiling , wall building , and decoration . The book contained recipes for decorative paints , glazes , and coatings , also listing proportions for mixing mortars used in masonry , . brickwork , and manufacture of glazed tiles , illustrating practices and standards with drawings . His book outlined structural carpentry in great detail , providing standard dimensional measurements for all components used ; . here he developed a standard eight @-@ grade system for sizing timber elements , known as the cai @-@ fen system of units , which could be universally applied in buildings . About 8 % of Li Jie 's book was derived from pre @-@ existing written material on architecture , while the majority of the book documented the inherited traditions of craftsmen and architects . The Yingzao Fashi provided a full glossary of technical terms that included mathematical formulae , building proportions , and construction techniques , and discussed the implications of the local topography for construction at a particular site . He also estimated the monetary costs of hiring laborers of different skill levels from various crafts on the basis of a day 's work , in addition to the price of the materials they would need and according to the season in which they were to be employed .",300
wt_35,"Fowler suffered an aggravation of a pre @-@ existing hip injury in the 2002 – 03 pre @-@ season , and did not recover until December . Struggling to gain fitness , and seeing team @-@ mates sold off due to a financial crisis , Fowler 's form and market value diminished . It was despite this decrease in form that he still , in total , scored 15 goals in 31 appearances for Leeds ; achieving an impressive strike rate of just less than one goal every two games . In 2002 – 03 , Leeds finished 15th in the Premier League and a severe financial crisis was developing .",111
wt_36,"In August 1969 , 2nd Battalion , 9th Marines was ordered to return to Camp Schwab , Okinawa . During this period the unit was assigned to sea duty in and around the waters of Vietnam and continued to receive combat training at Camp Fuji , Japan and Subic Bay in the Philippines .",54
wt_37,"In 1837 , the British Government funded the installation of a magnetic observatory at Greenwich . The Association continued to press for the construction of similar observatories around the world , and in 1838 their suggestions were accepted by the Government and funds were provided . In 1839 the British Government and the Royal Society prepared four expeditions to build magnetic observation stations in Cape Town ; St. Helena ; Hobart , Tasmania and ( eventually ) Toronto . Teams of Royal Artillery officers were sent out to take the measurements . The team assigned to Canada originally planned to build their observatory on Saint Helen 's Island off Montreal , but the local rocks proved to have a high magnetic influence , and the decision was made to move to Toronto instead . The team arrived in 1839 , and set up camp at Fort York in a disused barracks while construction started on new buildings . The observatory was given 10 acres ( 4 @.@ 0 ha ) of land to the west of King 's College ; the Ontario Legislature now occupies the area on which the college was located .",194
wt_38,"During the first four years of Henry 's reign Gerard was one of the king 's chief advisors , along with Robert of Meulan , Count of Meulan in Normandy and later Earl of Leicester . Gerard was one of Henry 's greatest supporters among the bishops during the Investiture Crisis . In 1101 Gerard witnessed a treaty between Henry and Robert , the Count of Flanders , which sought as far as possible to distance Robert from any future conflict between Henry and his elder brother Robert Curthose , or between Henry and King Philip I of France . After Gerard 's return from Rome he restored Ranulf Flambard to the see of Durham . In 1102 Anselm refused to consecrate three bishops , two of whom had received investiture from the king ; Gerard offered to consecrate them instead , but all except one refused . From 1105 onwards Gerard slowly began to embrace the papal position on investiture of bishops , which opposed laymen investing bishops with the symbols of episcopal authority . As part of his change of position , Gerard withdrew from court to care for his diocese . Towards the end of 1105 Gerard attempted to join Bohemond of Antioch , who was assembling a crusading force in France , but it appears that King Henry prevented Gerard 's departure . In 1106 Gerard wrote to Bohemond that he was still preparing to go on crusade , but he never did . At about the same time , Gerard was working to find a mutually acceptable resolution to the Investiture Crisis , writing a number of letters and other works supporting Anselm 's and the pope 's position . By 1107 King Henry and Anselm had reached an agreement settling the dispute .",299
wt_39,"William Herschel was the first astronomer to attempt to determine the distribution of stars in the sky . During the 1780s he established a series of gauges in 600 directions and counted the stars observed along each line of sight . From this he deduced that the number of stars steadily increased toward one side of the sky , in the direction of the Milky Way core . His son John Herschel repeated this study in the southern hemisphere and found a corresponding increase in the same direction . In addition to his other accomplishments , William Herschel is also noted for his discovery that some stars do not merely lie along the same line of sight , but are also physical companions that form binary star systems .",129
wt_40,"Mycena galericulata is saprobic , and grows on decaying hardwood and softwood sticks , chips , logs , and stumps . It can also grow from submerged wood , which may give it a terrestrial appearance . It typically grows in small clusters or sometimes singly . The fungus fruits from late spring to early winter . A study of litter @-@ decomposing fungi in a coniferous forest in Finland showed that M. galericulata produces extracellular hydrolytic enzymes in the humus and eluvial soil , including β @-@ glucosidase , β @-@ xylosidase , α @-@ glucosidase , butyrate esterase and sulphatase . The enzymes form complexes with inorganic and organic particles in the soil and break down ( depolymerize ) biopolymers such as cellulose , hemicellulose , and starch , which contributes to the cycling of carbon and nutrients . The presence of lead contamination in the soil decreases both the growth and the extracellular hydrolytic enzyme activity of M. galericulata .",163
wt_41,"Dolan brought in Paul Tomlinson , Brian Mitchell and Lee Sinnott in a bid to help McCall and Hendrie realise their dreams with City . They mounted a promotion challenge in 1987 – 88 and were top for much of the season until they faltered in the New Year . When promotion was missed initially by one point on the last day of the season after a 3 – 2 defeat against Ipswich Town and then through play @-@ off defeat to Middlesbrough , McCall left the club , signing for Everton for £ 850 @,@ 000 in June 1988 . He had played 238 league games for the club , scoring 37 goals , and in total played 285 games , scoring 46 goals . McCall was later outspoken in his autobiography , The Real McCall , about City 's failure to strengthen the side to secure promotion .",150
wt_42,"After her graduation , Simone spent the summer of 1950 at the Juilliard School , preparing for an audition at the Curtis Institute of Music in Philadelphia . Her application , however , was denied . As her family had relocated to Philadelphia in the expectation of her entry to Curtis , the blow to her aspirations was particularly heavy , and she suspected that her application had been denied because of racial prejudice . Discouraged , she took private piano lessons with Vladimir Sokoloff , a professor at Curtis , but never re @-@ applied to the institution . For several years , she worked a number of menial jobs and taught piano in Philadelphia .",117
wt_43,"Leslie ( Amy Poehler ) throws her annual "" Galentine 's Day "" party for her female friends , celebrated the day before Valentine 's Day . She asks her mother , Marlene ( Pamela Reed ) , to tell the story about how she fell in love with a lifeguard that saved her from drowning in 1968 , but the two had to break it off over objections from Marlene 's parents . Leslie later tells the story to Justin ( Justin Theroux ) , who is amazed by the tale and wants to unite the two . He successfully tracks down Marlene 's old flame , Frank Beckerson ( John Larroquette ) , and convinces Leslie to go with him to Illinois and reunite the two on Valentine 's Day at the Senior Center Valentine 's Dance , which the parks department oversees .",146
wt_44,"Magistrate Li writes out a marriage certificate and dispatches a messenger to deliver the document to Yue Fei in Unicorn Village . Zhou and Yue set out at dawn and travel back to Tangyin to thank the Magistrate for his generosity and kindness . There , Li prepares a great feast for them , but when food is brought out for any servants that might have accompanied them , Zhou comments that they had come on foot without help . Li decides to let Yue pick from any one of his thousands of horses because every able military man needs a strong steed . After finishing their feast , Zhou and Yue thank Li once again and leave Tangyin to return home . During their journey , Zhou recommends that Yue run the horse to test its speed . Yue spurs the horse on leaving Zhou in pursuit . When they reach the village gate , the two dismount and Zhou returns to his study where he feels hot from the race and removes his outer garments to fan himself . But he soon falls ill and stays bedridden for seven days . Then the book describes his death and burial :",202
wt_45,"Premier Division champions 1989 – 90 , 1992 – 93",10
wt_46,"In its original American broadcast , "" Boy @-@ Scoutz ' n the Hood "" finished 35th in the ratings for the week of November 15 to November 21 , 1993 , with a Nielsen rating of 13 @.@ 0 , translating to 12 @.@ 3 million households . The episode was the highest @-@ rated show on the Fox network that week .",64
wt_47,"Rammed @-@ earth walls during this time were tapered : the thickness of the wall is greatest at the base and decreases steadily with increasing height , as detailed in Li Jie 's book .",35
wt_48,"Paul Thomas Anderson ( born June 26 , 1970 ) also known as P.T. Anderson , is an American film director , screenwriter and producer . Interested in film @-@ making at a young age , Anderson was encouraged by his father Ernie Anderson ( a disc jockey , and television and radio announcer / voiceover artist ) to become a filmmaker .",63
wt_49,"A branch of the Hejaz railway , known as the Jezreel Valley railway , was built between 1903 and 1905 . This event accelerated the growth of Haifa , which became a township ( nahiya ) centre in Akka in the sanjak of Beyrut Eyalet before the end of Ottoman rule . The Technion Institute of Technology was established around this time , that is , in 1912 .",69
wt_50,"Eilean a ' Cheò , which means island of the mist ( a translation of the Norse name ) , is a poetic Gaelic name for the island .",29
wt_51,"Haifa has developed in tiers , from the lower to the upper city on the Carmel . The oldest neighborhood in the modern Haifa is Wadi Salib , the Old City center near the port , which has been bisected by a major road and razed in part to make way for government buildings . Wadi Salib stretches across to Wadi Nisnas , the center of Arab life in Haifa today . In the 19th century , under Ottoman rule , the German Colony was built , providing the first model of urban planning in Haifa . Some of the buildings have been restored and the colony has turned into a center of Haifa nightlife .",116
wt_52,"The episode 's initial script where Pfaster was a necrophiliac was rejected by the Fox Broadcasting Company for being "" unacceptable for broadcast standards "" . As series creator Chris Carter described it , "" When I handed the script in , it was really for a necrophiliac episode , and that just didn 't fly . You cannot do the combination of sex and death on network television . "" Carter was forced to tone down the script by changing Pfaster from a necrophiliac to a death fetishist and diminishing Pfaster 's sexual obsession . He considered that the sexual content was "" implied and understood by audiences "" , and that Pfaster still resulted in a creepy character , particularly his "" creepy arrogance "" in using shampoo on the hair of his victims . The episode 's original title was "" Fascination "" .",147
wt_53,"On February 8 , 2009 , Rihanna was reported to have been involved in an altercation with her boyfriend , Chris Brown . He allegedly punched Rihanna and threatened to kill her . Brown turned himself in to the police and pleaded guilty to misdemeanor assault during the trial . August Brown called the murder ballad theme an apparent "" warning "" to Chris Brown and a response to his song "" Deuces "" ( 2010 ) , which denounces an ex @-@ lover . Kitty Empire of The Guardian wrote that Brown 's assault on Rihanna gives the song lyrical context , and sings it with a "" bittersweet menace "" tone . When asked by HipHopDX about how he reacted to listeners of the song saying that it condones violence , Sham dismissed the accusations :",138
wt_54,"The Sovetsky Soyuz @-@ class battleships ( Project 23 , Russian : Советский Союз , "" Soviet Union "" ) , also known as "" Stalin 's Republics "" , were a class of battleships begun by the Soviet Union in the late 1930s but never brought into service . They were designed in response to the battleships being built by Germany . Only four hulls of the sixteen originally planned had been laid down by 1940 , when the decision was made to cut the program to only three ships to divert resources to an expanded army rearmament program .",101
wt_55,"After a search that had taken several years , Wheeler was able to secure a premises for the Institute of Archaeology : St. John 's Lodge in Regent 's Park , central London . Left empty since its use as a hospital during the First World War , the building was owned by the Crown and was controlled by the First Commissioner of Works , William Ormsby @-@ Gore ; he was very sympathetic to archaeology , and leased the building to the Institute at a low rent . The St. John 's Lodge premises were officially opened on 29 April 1937 . During his speech at the ceremony , the University of London 's Vice @-@ Chancellor Charles Reed Peers made it clear that the building was only intended as a temporary home for the Institute , which it was hoped would be able to move to Bloomsbury , the city 's academic hub . In his speech , the university 's Chancellor , Alexander Cambridge , 1st Earl of Athlone , compared the new institution to both the Institute of Historical Research and the Courtauld Institute of Art .",191
wt_56,L. c. ememicus ( J. A. Allen ) – central Arizona to Sonora,13
