"experiment_id","date","repository","phase","status","dissertation_role","question","scripts","inputs","outputs","models_tokenizers","attack","defence_or_detector","seed","n_source","n_evaluated","n_generated_rows","statistics","runtime","key_results","supersedes_or_corrects","evidence_paths","evidence_confidence","notes"
"V2-11","2026-08-07","version2","attack generation (superseded)","SUPERSEDED","none (superseded methodology)","(pre-rewrite) Does an ad hoc influential-word heuristic fool the victim?","backup/04_tokenbreak_attack_old.py","data/clean_baseline_toxic.csv (156 eligible, presumed)","data/tokenbreak_results_old.csv (156x12)","martin-ha/toxic-comment-model","TokenBreak (ad hoc heuristic, not paper Algorithm 1)","none","UNKNOWN","156","156","156","none","UNKNOWN","not independently interpreted by this audit (superseded, narrower pre-refactor schema); see V2-02 for current numbers","SUPERSEDED BY V2-02 (04_tokenbreak_attack.py / data/tokenbreak_results.csv)","backup/04_tokenbreak_attack_old.py; data/tokenbreak_results_old.csv","HIGH","Full paper-fidelity rewrite, not a bug fix -- do not cite these numbers in the dissertation."
"V2-12","2026-08-07","version2","attack generation (superseded)","SUPERSEDED","none","(pre-bugfix) Does AdvTok search fool the victim?","05_advtok_attack.py (pre-bugfix version; 3 internal bugs patched post-hoc, script file itself same)","data/clean_baseline_toxic.csv","data/advtok_results_old.csv (156x15)","martin-ha/toxic-comment-model","AdvTok (pre-bugfix: prefix-only parity check, tautological validity check, wrong canonical-segmentation assumption)","none","42","156","156","156","none","","not independently interpreted (superseded; bugs affected validity/parity determination); see V2-03 for current numbers","SUPERSEDED BY V2-03 (data/advtok_results.csv, after 3 documented bug fixes)","data/advtok_results_old.csv; notes/handoffs.md sec7 items 4-6","HIGH","Notes explicitly say 'do not rediscover' -- bugs documented to prevent recurrence."
"V2-13","2026-08-07","version2","defence matrix (superseded)","SUPERSEDED","none","(pre-revision) Unpaired attack/defence evaluation","backup/09_defence_matrix_old.py","UNKNOWN (presumed same attack result files)","backup/defence_matrix.csv (1,036,766 bytes, different size than current)","martin-ha/toxic-comment-model","presumed same 6","presumed same 7 (unconfirmed for old version)","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","none confirmed","","not extracted (superseded; no note file explains the exact change)","SUPERSEDED BY V2-05 (09_defence_matrix.py, paired clean-vs-attacked methodology)","backup/09_defence_matrix_old.py; backup/defence_matrix.csv","MEDIUM","Change exists (confirmed by script diff -- old frames outcomes around transform/detect/re-encode mechanisms without paired evaluation) but no note file documents why. Do not use old backup numbers for anything. [POST-HOC NOTE added 2026-08-08 by this audit, at the user's request -- not contemporaneous with the 2026-08-07 script change, not found in any dated project note file. See V2-05 notes for the reconstructed design rationale for why the paired methodology replaced this one.]"
"V2-14","drafted 2026-08-08 00:24, never executed","version2","cross-tokenizer attack generalisation","FUTURE","Must NOT be presented as completed -- the audit's key guardrail item per the task's explicit classification rule","Do TokenBreak/Unicode/AdvTok attacks generalise (achieve nonzero ASR) against BPE and Unigram tokenizer-family classifiers?","backup/13_cross_tokenizer_string_attacks.py; backup/13b_cross_tokenizer_advtok.py","(would be) data/cross_bpe_clean_toxic.csv, data/cross_unigram_clean_toxic.csv, data/cross_tokenizer_shared_eligible.csv","NONE FOUND. Declared-in-code output filenames (data/cross_{family}_tokenbreak.csv, cross_{family}_unicode_*.csv, cross_{family}_advtok_results.csv) do not exist anywhere in the repository.","s-nlp/roberta_toxicity_classifier (BPE); Emmytheo/Deberta-v3-... (Unigram)","TokenBreak, Unicode x4, AdvTok (family-adapted)","none (attack-generation stage)","UNKNOWN (not run)","0 executed","0","0","none (not run)","n/a","NONE. notes/pipeline.md's intended results table is filled entirely with '?' placeholders (lines 316-349); the diagram places this stage under 'NOW'/'NEXT', not 'DONE'.","n/a","backup/13_cross_tokenizer_string_attacks.py; backup/13b_cross_tokenizer_advtok.py; notes/pipeline.md lines 316-477; notes/observations.md (zero mentions of BPE/Unigram attacks)","HIGH (non-execution confirmed by exhaustive repository-wide filename search)","Per the audit's classification rules, do not cite 'attacks generalise across tokenizer families' as an established finding anywhere in the dissertation. Only V2-09's clean-baseline concordance is backed by an artefact."
"V2-15","planned, never implemented","version2","defence coverage","FUTURE","Limitations-disclosure item","How would a guard-model baseline defence perform in the matrix?","none written","n/a","none","(planned, unspecified -- GTX 1650 4GB constraint noted)","n/a","guard-model baseline (planned 8th defence)","n/a","0","0","0","none","","none","","notes/to-do (line ~60); notes/handoffs.md sec8 items 4,7","MEDIUM","Planned in early notes ('Guard Model baseline'), absent from the final 7-defence set actually implemented in 08_defences.py/09_defence_matrix.py/13_freeze_current_results.py's DEFENCE_ORDER. No documented reason for dropping it was found."
"V2-16","planned, not started","version2","scale-up","FUTURE","Limitations/future-work disclosure","How do the current 7 defences perform on large-scale real-traffic data (LMSYS/WildChat) rather than Jigsaw?","none written","n/a","none","","","","","","","","","","none","","notes/pipeline.md 'NEXT' list (lines 432-477)","MEDIUM","Listed under a 'NEXT' heading (not 'NOW' or 'DONE'); no work started. Note this would reuse LMSYS/WildChat corpora conceptually similar to deftok5's, but as of this audit no such run exists in either repository."
"D5-01","2026-07-15","deftok5","A0-A2 (mechanics)","PRELIMINARY","Methodology narrative only (pedagogical demonstration)","Do GPT-2/BERT/XLNet tokenize the same string differently?","a2_disagreement.py (+ conceptual A0/A1 groundwork, no separate script)","hardcoded string 'cryptocurrency'","stdout only, no persisted artefact","gpt2 (BPE), bert-base-uncased (WordPiece), xlnet-base-cased (Unigram/SentencePiece)","none","none (mechanism demo)","n/a","1 (single string)","1","0 (no persisted output)","none","UNKNOWN","GPT-2/BERT/XLNet produce visibly different segmentations of 'cryptocurrency' (qualitative demo only)","","progress.md lines 15-21","MEDIUM","Exploratory/pedagogical demo, not a corpus statistic; no persisted artefact for independent verification."
"D5-02","2026-07-15","deftok5","A3-A4 (metric definition)","PRELIMINARY","Methodology narrative (metric definition)","How should tokenizer boundary divergence be measured?","none (hand-worked, conceptual)","hardcoded string","none","bert-base-uncased, xlnet-base-cased","none","Jaccard divergence metric definition","n/a","1","1","0","none","","Single hand-computed example, Jaccard=0.80 on one word; explicitly noted as coincidental, not a corpus statistic","","decisions.md lines 30-36; progress.md lines 38-41","MEDIUM","Character-offset space chosen over token-ID space; endpoints {0,N} later dropped at A6 (D5-04)."
"D5-03","2026-07-15","deftok5","A5 (whitespace projection)","PRELIMINARY","Methodology narrative","Does stripping whitespace-coincident boundary agreement isolate genuine subword disagreement?","a5_whitespace_projection.py","hardcoded demo sentence 'how are my tokens split'","stdout only","gpt2, bert-base-uncased, xlnet-base-cased","none","Jaccard divergence (whitespace-projected)","n/a","1","1","0","none","","GPT2-BERT Jaccard 0.5556 raw -> 1.0000 projected; BERT-XLNet 0.0000 raw and projected (invariant)","","progress.md lines 48-57","MEDIUM","Single hand-picked sentence, explicitly flagged in the source docs as extreme/non-representative."
"D5-04","2026-07-15","deftok5","A6 (corpus freeze + correction)","PRELIMINARY","Methodology narrative; demonstrates correction discipline","What is the corpus-scale same-family (BERT-XLNet) raw Jaccard divergence on WikiText-2 null text?","a6_freeze_corpus.py; a6_pair_matrix.py; a6_reconcile.py; a6_reconcile_both.py; a6_diagnose.py","HF wikitext-2-raw-v1","wikitext2_clean.txt (100 sentences, seed 0); wikitext2_scale_10k.txt (10,000 sentences, seed 42)","bert-base-uncased, xlnet-base-cased","none","Jaccard divergence (null/benign characterisation)","0 (100-corpus), 42 (10k-corpus)","100 and 10,000 sentences","100 and 10,000","10,100 (100+10,000)","mean Jaccard","","BERT-XLNet raw Jaccard mean 0.0662 (100-corpus), 0.0583 (10k-corpus); reconciles to ~0.07, NOT to a prior '0.763' answer-key value","corrects a prior '0.763' curriculum answer-key value (see D5-05)","progress.md lines 70-73; decisions.md 'DECISION 2'; wikitext2_clean.txt; wikitext2_scale_10k.txt","HIGH","Endpoints {0,N} dropped in deftok5 (diverges from a prior deftok2 convention); effect on same-family means ~0.004."
"D5-05","correction dated 2026-07-15; original claim date UNKNOWN","deftok5","A6 correction","SUPERSEDED","None (retracted value; historical record only)","n/a (records the retracted claim itself)","n/a (prior curriculum/deftok2-derived value)","n/a","n/a","","","","","","","","","","'0.763' same-family BERT-XLNet Jaccard value, traced to a 'v0.1 configuration' and declared mislabelled","SUPERSEDED BY D5-04 (~0.07 corrected value)","decisions.md 'DECISION 2'","MEDIUM","Correction is documented in prose; the original source of '0.763' (a 'curriculum answer-key') was not independently verified by this audit. Do not cite 0.763 as any deftok5 or version2 result."
"D5-06","2026-07-15 to 2026-07-27","deftok5","B2-B4 (generator demos)","PRELIMINARY","Methodology narrative only -- a toy demo, explicitly NOT the same implementation as version2's paper-faithful attacks (V2-02/V2-03)","Can clean-room TokenBreak/AdvTok mechanism demos be built and verified?","tokenbreak.py; advtok.py","hardcoded demo strings","stdout only","gpt2/bert-base-uncased/xlnet-base-cased tokenizers (exact set per demo unspecified)","TokenBreak (word-length-proxied saliency, NOT paper-faithful); AdvTok (single distance-1 split, NOT the optimised search)","none","0 (AdvTok demo)","1 demo string ('cryptocurrency exchange')","1","0","none","","AdvTok demo: token IDs differ, decoded text identical (byte-preservation property verified on 1 example)","","progress.md lines 97-114; decisions.md DECISION 4/5/6","MEDIUM","Explicitly logged as fidelity deviations from source papers ('[INFERENCE]... NOT a faithful reproduction'). Do not conflate with version2's V2-02/V2-03."
"D5-07","2026-07-27","deftok5","F3-prep (corpus acquisition)","SUPPORTING","Reusable frozen real-traffic corpora; methodology discussion (one-shard-per-corpus limitation)","Can one shard each of LMSYS-Chat-1M, WildChat-1M, ToxicChat be acquired and pinned?","fetch_lmsys.py; fetch_wildchat.py; fetch_toxicchat.py; scripts/build_manifest.py","HF Hub (lmsys-chat-1m, wildchat-1m, toxic-chat)","data/raw/{lmsys,wildchat,toxicchat}/; data/manifests/corpora.json","n/a","none","none","n/a","1 shard each (lmsys 249,303,811 bytes; wildchat 230,786,095 bytes; toxicchat 16,289,257 bytes)","n/a (acquisition only)","n/a","none","","sha256-pinned single-shard acquisition for all 3 corpora, dated 2026-07-27","","data/manifests/corpora.json","HIGH","Explicit limitation logged: '0.1% FPR is not estimable from one shard.'"
"D5-08","prereg 2026-07-27, result 2026-07-28","deftok5","F3-b (redaction test, LMSYS)","PRELIMINARY","Methodology narrative (pre-registration discipline example)","Does redaction status affect cross-tokenizer Jaccard divergence on LMSYS?","score_redaction.py; compare_redaction.py","data/processed/lmsys_english_user_turns.parquet","data/processed/lmsys_divergence_scores.parquet","gpt2, bert-base-uncased, xlnet-base-cased","none","Jaccard divergence (redaction-artefact check)","n/a","134,217 LMSYS user turns (85,246 conversations)","134,217","250,294 (lmsys_divergence_scores.parquet, pre-freeze)","threshold-based verdict (>=0.01 absolute mean difference); no formal CI reported for this test","","jac_gpt2_bert -0.0297; jac_gpt2_xlnet -0.0038; jac_bert_xlnet +0.0363; verdict PARTIALLY REFUTED (predicted 'redacted higher on all pairs'; 2 of 3 pairs exceeded threshold, direction mixed)","","decisions.md lines 190-255; progress.md lines 174-189","HIGH","Pre-reg commit 3287b84, result commit c04d829; motivated the redacted-row drop rule used when freezing lmsys_null_frozen.parquet."
"D5-09","2026-07-28","deftok5","F3-b (redaction test, WildChat)","PRELIMINARY","Methodology narrative","Does redaction status affect divergence on WildChat (replication of D5-08)?","score_wildchat.py","data/processed/wildchat_english_user_turns.parquet","data/processed/wildchat_divergence_scores.parquet","gpt2, bert-base-uncased, xlnet-base-cased","none","Jaccard divergence","n/a","75,839 WildChat turns (29,223 conversations); n=309 redacted conversations specifically","76,893 (pre-freeze scoring, per parquet shape)","76,893","threshold-based verdict; explicit power caveat (n=309 vs LMSYS ~34,556, 'two orders of magnitude smaller')","","jac_gpt2_bert +0.0125 (direction MISMATCH vs LMSYS -0.0297); jac_gpt2_xlnet -0.0026 (direction match, weaker); jac_bert_xlnet +0.0130 (direction match, weaker); verdict PARTIALLY REFUTED, one pair INCONCLUSIVE-FOR-POWER","","decisions.md/progress.md lines 505-518","HIGH","Redaction-direction split across corpora left explicitly [OPEN] -- never resolved in this repository."
"D5-10","claim 2026-07-28, corrected same day","deftok5","F3-b correction","SUPERSEDED","None (retracted claim); methodology narrative re: correction discipline","n/a (records the retracted claim)","freeze_lmsys_null.py","lmsys_english_user_turns.parquet","data/processed/lmsys_null_frozen.parquet (134,217 turns/85,246 convs)","","","","","","","","","","Initial claim '134,217 rows clears 10^5, TPR@0.1%FPR estimable-but-marginal' -- WRONG, retracted; correct resampling unit is conversations (85,246), below the ~100,000 needed; '0.1% FPR is not achievable from this corpus at any floor'","SUPERSEDED: commit fa00ea3 supersedes bd91a9b (per commit b781d39)","decisions.md 'SCALE CLAIM CORRECTED'; progress.md lines 255, 513-514; git commits bd91a9b, fa00ea3, b781d39","HIGH","Also drove adoption of the 200-character length floor (a jaccard()==1.0 ceiling-artefact workaround; removes ~76% of turns, median turn length 82 chars). Do not treat this floor as a version2 defence cost."
"D5-11","prereg 2026-07-28 (677738d), result 2026-07-28 (e8cae2c)","deftok5","F3-b (placeholder mechanism test)","PRELIMINARY","Methodology narrative","Is the redaction-direction effect driven by placeholder format specifically, or by an offset-family mechanism?","placeholder_mechanism.py","5 constructed placeholder strings x 4 conditions (hardcoded, no corpus)","none persisted (deterministic, exact values, reported in decisions.md)","","","","n/a (deterministic)","5","5","20 (5x4 conditions)","exact enumeration, no bootstrap","","Both competing predicates (agree>=4/5 AND oppose>=4/5; disagree>=2/5 OR format-split) fired simultaneously -- reported as MIXED; the constructed test did NOT reproduce the real WildChat corpus-level direction flip","","decisions.md lines 795-813","HIGH","Thread explicitly closed as [OPEN] -- mechanism never resolved; 'no claim in this work depends on resolving it.'"
"D5-12","2026-07-28","deftok5","F3-b (ToxicChat control)","SUPPORTING","Methodology narrative (negative/bounded control result; corpus reusable)","Is harmful-but-unobfuscated text (ToxicChat) more divergent than benign text -- a falsification check on the 'divergence tracks non-canonicality not harmfulness' framing?","freeze_toxicchat_null.py; score_toxicchat.py; diagnose_ceiling_toxicchat.py","data/raw/toxicchat","data/processed/toxicchat_frozen.parquet (10,165 rows); toxicchat_divergence_scores.parquet","bert-base-uncased, xlnet-base-cased","none","Jaccard divergence (control check)","n/a","10,165","10,165","10,165","median/p99 comparison across corpora, no formal CI","","ToxicChat BERT-XLNet median 0.0769 nearly identical to LMSYS 0.0772; ToxicChat p99 0.3200 BELOW both LMSYS 0.3580 and WildChat 0.4231 -- harmful-but-unobfuscated text NOT more divergent than benign","","progress.md lines 461-464","HIGH","Explicitly logged: 'ANY USE OF TOXICCHAT TO ESTIMATE A FALSE-POSITIVE RATE IS A CATEGORY ERROR' (degenerate clustering, cluster size 1 throughout; no language column; at least one non-English row found unquantified)."
"D5-13","2026-07-29","deftok5","C1-C2 (metrics tooling)","SUPPORTING","Reusable methodology/tooling (ROC/AUC, low-FPR operating points), no standalone empirical claim","n/a (tooling build)","deftok5/metrics/roc.py; deftok5/metrics/operating_points.py","n/a","n/a (library code)","","","","","","","","","","ROC/AUC verified against sklearn to atol=1e-12 on 5 constructed cases; threshold_at_fpr raises ValueError when target_fpr < 1/n_neg","","tests/test_roc.py; tests/test_operating_points.py","HIGH","No pre-registration required for tooling-only work per an explicit 2026-07-29 workflow-change decision logged in decisions.md."
"D5-14","2026-07-29","deftok5","C3 (CPT baseline characterisation)","SUPPORTING","Methodology narrative only; NOT the source of version2's CPT thresholds (version2 calibrated independently, see V2-05)","What are benign-null CPT percentiles and 1%-FPR thresholds on LMSYS/WildChat?","characterise_cpt_null.py","lmsys_null_frozen.parquet, wildchat_null_frozen.parquet","data/processed/cpt_null_characterisation.parquet + .md","gpt2, bert-base-uncased, xlnet-base-cased (cpt_gpt2/bert/xlnet detectors)","none","CPT (characters-per-token) baseline","n/a","134,217 + 75,839 turns","134,217 + 75,839","per characterisation table","percentile-based threshold at 1% FPR","","Benign median CPT 4.22-4.59; 1%-FPR threshold 1.41-2.12; achieved FPR 0.00996-0.01000","n/a (cpt_null_characterisation_recheck.md is a byte-identical recheck, not a correction)","progress.md lines 664-666; data/processed/cpt_null_characterisation.md","HIGH","[OPEN] flag logged: count_whitespace=True unverified against the source preprint (arXiv:2510.26847, not peer-reviewed) -- all CPT values/thresholds provisional. BERT [UNK]-collapse inflates CPT (lmsys 2.15%, wildchat 8.33% of rows have >=1 UNK)."
